Name,Count
重剑,51
必有,51
一句话,51
并肩,51
若不是,51
怪人,51
无力,51
轮子,51
竟会,51
而已,51
难过,51
两声,51
原来是,51
说不出,51
已知,51
雄大,51
外人,51
无异,51
其余,51
是否,51
六人,50
解开,50
好啊,50
到来,50
桌上,50
记得,50
吩咐,50
心里,50
便有,50
一个人,50
一出,50
练到,50
老道,50
等人,50
一座,50
行礼,50
别人,50
大汉,50
绳索,50
服了,50
铁剑,50
谁也,50
好笑,50
来啦,50
甚么事,50
双眼,49
妹妹,49
呼喝,49
招架,49
四下,49
鞑子,49
了不起,49
遇到,49
朋友,49
深厚,49
柔声道,49
没听,49
敌手,49
呼呼,49
不放,49
也好,49
心知,49
中毒,49
逼得,49
不料,49
将我,49
送了,49
快快,49
怪客,49
小人,49
眼中,49
爸爸,49
跟她,48
手里,48
顺手,48
上山,48
几声,48
其时,48
受了,48
帮帮,48
再无,48
既然,48
下山,48
绸带,48
料到,48
没甚么,48
也有,48
向外,48
花之,48
展开,48
叫你,48
诸般,48
诧异,48
千万,48
感激,48
和你,47
极为,47
落在,47
怎知,47
各自,47
双臂,47
不信,47
得好,47
今晚,47
听说,47
王子,47
似是,47
不识,47
另有,47
老妇,47
此言,47
想来,47
犹如,47
满了,47
中所,47
石棺,47
之法,47
一听,47
几步,47
数十年,47
聪明,47
这次,47
忘了,47
不去,47
铁匠,47
将出来,46
四下里,46
这句,46
深谷,46
衣服,46
丛中,46
那你,46
与她,46
小腹,46
不跟,46
想到此,46
个字,46
彭长老,46
为人,46
磕头,46
岂不,46
呼吸,46
人影,46
另一个,46
回答,46
女孩儿,46
瞧出,46
错了,46
力道,46
世间,46
树林,46
转了,46
而起,46
拉住,46
设法,46
经脉,46
身法,46
怒气,46
站立,46
过手,46
为难,46
汉子,46
本领,45
人大,45
当世,45
一身,45
瞧了,45
便可,45
数百,45
看了,45
瞧你,45
银子,45
互相,45
门口,45
交给,45
一红,45
到哪里,45
站着,45
不定,45
说不定,45
说完,45
性子,45
大和,45
寻常,45
衣袖,45
怎会,45
通红,45
相互,44
颤声,44
抬起头来,44
自来,44
早就,44
地方,44
丹田,44
推开,44
相貌,44
胜于,44
两只,44
黑暗,44
多半,44
拾起,44
给人,44
高声,44
个个,44
想他,44
得出,44
小子,44
平时,44
铁轮,44
先师,44
远处,44
退开,44
叫作,44
一沉,44
方能,44
马钰,44
一想,44
一阳指,43
白衣,43
爹妈,43
头发,43
冯默风,43
踏上,43
得多,43
侧身,43
生气,43
怀里,43
叫声,43
两枚,43
从前,43
急奔,43
多少,43
颇有,43
留下,43
山谷,43
一颗,43
岩石,43
此一,43
不大,43
不想,43
圈子,43
分别,43
咱俩,43
拔出,43
掠过,43
显得,43
嘿嘿,43
抱起,43
台下,43
连连,43
离开,43
得到,43
李志常,42
小妹,42
又见,42
连声,42
真有,42
联手,42
挥动,42
花丛,42
君子,42
在手,42
近身,42
进了,42
你爹,42
有异,42
有趣,42
但不,42
小弟,42
到处,42
心思,42
一晃,42
不回,42
数次,42
破绽,42
不绝,42
四名,42
有此,42
黑衣,42
以致,42
岛上,42
有意,42
风声,42
何用,42
已在,42
自知,42
人均,42
还能,41
就要,41
尽是,41
拚命,41
徒儿,41
察看,41
马上,41
腿上,41
双腿,41
向上,41
之内,41
前来,41
相会,41
必是,41
是非,41
数日,41
没见,41
大伙儿,41
在床,41
此后,41
放心,41
金针,41
她在,41
东西,41
出招,41
表妹,41
更不,41
忍耐,41
居士,41
都已,41
神通,41
运气,41
城中,41
并未,41
一拳,41
剑柄,40
狼狈,40
那一,40
她们,40
反正,40
心事,40
到我,40
走出,40
就只,40
后心,40
落下,40
赶到,40
天色,40
又说,40
向西,40
哪里去,40
夫妻,40
落地,40
杨康,40
山上,40
对准,40
又要,40
遇上,40
牛肉,40
永远,40
九阴真经,40
不但,40
你我,40
认得,40
毒性,40
好人,40
晚辈,39
兵将,39
无一,39
已到,39
时见,39
之旁,39
终究,39
快走,39
年轻,39
奋力,39
再见,39
故意,39
一株,39
树干,39
擒拿,39
一些,39
成亲,39
门外,39
话说,39
容貌,39
那就,39
脚下,39
已无,39
敌军,39
直到,39
匕首,39
长矛,39
坐下,39
念头,39
长大,39
这二,39
怔怔,39
教我,39
王爷,39
时分,39
得手,39
不听,39
然后,38
回过头来,38
在哪,38
来去,38
一派,38
之地,38
掌心,38
倒转,38
非同小可,38
刀剑,38
三分,38
抬头,38
无双,38
淡淡,38
全不,38
华山,38
输了,38
可以,38
突见,38
便能,38
不同,38
还手,38
破了,38
决意,38
修习,38
无数,38
好不好,38
拜见,38
走向,38
老衲,38
嘉兴,38
乱石,38
姊妹,38
愕然,38
之言,38
若要,38
半截,38
耶律燕,38
阁下,37
顶上,37
脱身,37
师母,37
俯身,37
找寻,37
上台,37
正中,37
沉重,37
有所,37
不停,37
江南,37
而过,37
是为了,37
晃动,37
奥妙,37
可有,37
出口,37
大师兄,37
大力,37
活死人,37
男女,37
以后,37
仙子,37
要杀,37
妇人,37
均已,37
既不,37
不服,37
进去,37
火把,37
拳法,37
明日,37
所说,37
父子,37
领教,37
手持,37
有时,37
这件,37
能有,37
绝无,37
好啦,37
另一,37
一击,37
语气,37
做了,37
便了,37
经过,37
鳄鱼,36
追赶,36
全力,36
叫做,36
哭了,36
得上,36
数年,36
筋斗,36
从此,36
之势,36
不忍,36
要去,36
一闪,36
远胜,36
好手,36
缓步,36
何能,36
乘机,36
快步,36
理睬,36
又在,36
面目,36
欺侮,36
一震,36
难当,36
飞身,36
得很,36
男子,36
又向,36
一定,36
谷底,36
见识,36
