Name,Count
之手,47
呼吸,47
小小,47
呆了,47
身穿,47
行走,47
自当,47
打在,47
主意,47
圆音,47
此言,47
要他,47
己身,47
逃走,47
剧毒,47
满了,47
伏在,47
放下,47
平时,47
僧众,47
百年,47
凌厉,47
无异,47
太过,47
先行,47
变化,47
察看,46
全力,46
执法长老,46
拉着,46
要去,46
突然之间,46
初时,46
在手,46
大会,46
三分,46
跃上,46
说起,46
人影,46
主人,46
抱拳,46
妙风使,46
容貌,46
拳法,46
着实,46
一遍,46
运气,46
清楚,46
远处,46
几步,46
外人,46
于我,46
没想到,46
不但,46
发觉,46
人均,46
算是,46
经过,46
通红,46
大怒,45
朝廷,45
该当,45
哪一,45
亲自,45
敌手,45
相见,45
故意,45
到处,45
两声,45
怪异,45
却不知,45
见识,45
便去,45
法王,45
直到,45
不来,45
折断,45
以为,45
凝神,45
并未,45
武青婴,45
接连,45
想要,44
和你,44
到来,44
头大,44
必有,44
她不,44
暗自,44
更无,44
反手,44
那一,44
之心,44
两派,44
避开,44
所以,44
三师,44
瞧了,44
那大,44
怀里,44
一震,44
数百,44
冷谦,44
先前,44
还没,44
都已,44
全无,44
圈子,44
站着,44
一手,44
领教,44
显得,44
绝无,44
出声,44
一道,44
抱起,44
一刀,44
半截,44
转念,43
将出来,43
回归,43
神情,43
若有,43
到底是,43
谁都,43
大石,43
成为,43
上去,43
四个,43
传授,43
手相,43
说来,43
还请,43
正好,43
右臂,43
多半,43
霎时之间,43
难过,43
进去,43
老儿,43
将来,43
毫不,43
巨石,43
相斗,43
去找,43
那就,43
不想,43
大丈夫,43
偷袭,43
七人,43
天下英雄,43
一言,43
有余,43
武烈,43
下毒,43
奔出,43
大树,42
手里,42
举起,42
你好,42
疑心,42
取了,42
禅杖,42
衣服,42
能够,42
握住,42
非同小可,42
汉人,42
山下,42
中年,42
看了,42
瞧你,42
昨晚,42
又不是,42
大厅,42
薛公远,42
言道,42
这场,42
交给,42
道理,42
王府,42
坐下,42
洪水,42
姓名,42
黄金,42
时分,42
虽不,42
还能,41
掌钵龙头,41
人和,41
清清楚楚,41
忽地,41
人中,41
在冰,41
力气,41
到你,41
深厚,41
磕头,41
岂不,41
退了,41
正派,41
再行,41
中毒,41
幸好,41
躲在,41
服侍,41
这两个,41
念头,41
一沉,41
自知,41
怎会,41
一想,41
拚命,40
如一,40
回过头来,40
送到,40
皇帝,40
秘密,40
半个,40
在哪,40
恭恭敬敬,40
治好,40
只好,40
悄悄,40
宝剑,40
一株,40
男女,40
讯息,40
到我,40
放心,40
不怕,40
断了,40
后心,40
不断,40
瞧出,40
得有,40
已经,40
众位,40
无数,40
也罢,40
见我,40
千万,40
女弟子,40
听见,40
接着,40
已在,40
一击,40
大惊,40
白袍,40
追赶,39
脱身,39
一来,39
而且,39
来得,39
灭绝,39
过头,39
定然,39
一天,39
为人,39
帮帮,39
山洞,39
出口,39
圆业,39
法子,39
而行,39
生气,39
但不,39
心知,39
黑暗,39
东西,39
原来是,39
两根,39
一指,39
之法,39
丈夫,39
识得,39
一次,39
日子,39
未免,39
手足,39
左臂,39
闪身,39
十三,39
以来,38
拍出,38
叫做,38
本领,38
丛中,38
不过是,38
踏上,38
群弟子,38
假装,38
耳中,38
伤心,38
安排,38
已久,38
胡说八道,38
而死,38
一些,38
气息,38
显然,38
四名,38
哪一位,38
得出,38
又说,38
不同,38
破了,38
龙王,38
一晚,38
一头,38
落地,38
往往,38
你想,38
八个,38
怒气,38
有谁,38
躺在,38
霹雳,38
手执,38
势必,38
极大,38
威名,37
在你,37
姑姑,37
好汉,37
向东,37
真有,37
自来,37
格格,37
早就,37
倚天,37
地方,37
舵主,37
令人,37
罗汉堂,37
盘山,37
住口,37
合十,37
飞身,37
唐文亮,37
从前,37
额头,37
瞧见,37
一定,37
身材,37
掷出,37
