Name,Count
拍手,38
就只,38
蛤蟆功,38
会了,38
进去,38
瞧出,38
一推,38
父王,38
焦急,38
将军,38
已把,38
樵子,38
之法,38
言道,38
明知,38
幸好,38
折断,38
几步,38
迎面,38
走去,38
请教,38
发觉,38
休息,38
桅杆,38
手足,38
离开,38
心神,38
施展,37
叫做,37
蓦地,37
眼光,37
本已,37
苦练,37
拿住,37
心惊,37
仇人,37
再无,37
十五,37
黄河,37
伤心,37
忍不住,37
说给,37
到处,37
行礼,37
金人,37
烟雨楼,37
大笑,37
快说,37
如不,37
跌倒,37
插入,37
见我,37
几次,37
走向,37
到哪里,37
才是,37
不便,37
一言,37
愕然,37
入海,37
寻常,37
地里,37
当地,37
到底,37
一想,37
两头,37
脚上,36
何不,36
上前去,36
认输,36
如一,36
拿着,36
尸身,36
向东,36
个人,36
她不,36
张望,36
很是,36
太湖,36
得多,36
到你,36
总算,36
今晚,36
药师,36
重重,36
生气,36
点点头,36
一百,36
高举,36
这一来,36
听着,36
拾起,36
险些,36
大小姐,36
倒退,36
奸贼,36
岂不是,36
祖师爷,36
人头,36
这道,36
不解,36
担心,36
小孩,36
长春,36
天罡,36
能将,36
耳边,36
不致,36
皇宫,36
你我,36
仰天,36
好人,36
极大,36
闪动,35
打个,35
停步,35
还在,35
草原,35
抬起头来,35
功高,35
记得,35
一大,35
忌惮,35
一口气,35
叔叔,35
完颜洪熙,35
没见,35
豪杰,35
竟会,35
何以,35
行走,35
到我,35
还了,35
未曾,35
晕了,35
号令,35
用意,35
急奔,35
不回,35
答话,35
从未,35
怪异,35
神态,35
腰里,35
不同,35
有心,35
向西,35
一次,35
日子,35
学会,35
要害,35
矮胖,35
这可,35
衣袖,35
外面,35
顶上,34
越来越,34
也要,34
出现,34
走上,34
单刀,34
举手,34
雪地,34
向上,34
当世,34
张口,34
一家,34
拿起,34
可怜,34
好不,34
那一,34
乘机,34
奋力,34
盘膝,34
妙极,34
将那,34
挣扎,34
树上,34
但不,34
天道,34
回家,34
身穿,34
逼得,34
窝阔台,34
东邪,34
可不是,34
曲三,34
被人,34
忍耐,34
一颗,34
大人,34
赶来,34
使出,34
落地,34
城中,34
站着,34
落入,34
下面,34
怔怔,34
二十年,34
认得,34
尽是,33
摔倒,33
一层,33
惊讶,33
清清楚楚,33
来去,33
酒楼,33
随手,33
握住,33
徒弟,33
师妹,33
出言,33
里面,33
瞧这,33
请你,33
坐了,33
苦思,33
军中,33
数百,33
不明白,33
父女,33
酸麻,33
只因,33
向北,33
就可,33
下地,33
决不能,33
高兴,33
本就,33
展开,33
着实,33
吓了一跳,33
交给,33
枪法,33
定神,33
高强,33
这套,33
察合台,33
无异,33
手持,33
人叫,33
向她,33
素来,33
跟在,33
一心,33
真不,33
不死,33
大军,33
不算,32
取胜,32
伤人,32
对头,32
了吗,32
想要,32
提防,32
得上,32
来就,32
脚步声,32
掌中,32
小艇,32
大出,32
一天,32
摇了,32
意料之外,32
拉了,32
片刻之间,32
得住,32
观看,32
救了,32
有趣,32
坏了,32
退了,32
猛力,32
老道,32
一晃,32
个头,32
抵御,32
而死,32
一些,32
留下,32
明儿,32
